id,tz,from,to,hours
1484880729870,America/Chicago,19. 01. 2017 20:52,20. 01. 2017 6:47,9.92
1484981308439,America/Chicago,21. 01. 2017 0:48,21. 01. 2017 8:30,7.7
1485074465685,America/Chicago,22. 01. 2017 2:41,22. 01. 2017 11:01,8.34
1485160498502,America/Chicago,23. 01. 2017 2:34,23. 01. 2017 6:50,4.26
1485176520451,America/Chicago,23. 01. 2017 7:02,23. 01. 2017 9:30,2.47
1485326811065,America/Chicago,25. 01. 2017 0:46,25. 01. 2017 6:50,6.06
1485410447135,America/Chicago,26. 01. 2017 0:00,26. 01. 2017 8:24,8.4
1485586377920,America/Chicago,28. 01. 2017 0:52,28. 01. 2017 8:46,7.9
1485782903934,America/Chicago,30. 01. 2017 7:28,30. 01. 2017 10:31,3.06
1485794117170,America/Chicago,30. 01. 2017 10:35,30. 01. 2017 13:20,2.75
1485848595534,America/Chicago,31. 01. 2017 1:43,31. 01. 2017 7:21,5.63
1486010137475,America/Chicago,01. 02. 2017 22:35,02. 02. 2017 10:20,11.75
1486183548408,America/Chicago,03. 02. 2017 22:45,04. 02. 2017 1:00,2.24
1486193117194,America/Chicago,04. 02. 2017 1:25,04. 02. 2017 10:47,9.37
1486365150061,America/Chicago,06. 02. 2017 1:12,06. 02. 2017 9:40,8.46
1486454764457,America/Chicago,07. 02. 2017 2:06,07. 02. 2017 9:32,7.43
1486631903035,America/Chicago,09. 02. 2017 3:18,09. 02. 2017 10:37,7.31
1486715725061,America/Chicago,10. 02. 2017 2:35,10. 02. 2017 8:45,6.16
1486973588441,America/Chicago,13. 02. 2017 2:13,13. 02. 2017 7:38,5.42
1487048134785,America/Chicago,13. 02. 2017 22:55,14. 02. 2017 6:10,7.25
1487153914393,America/Chicago,15. 02. 2017 4:18,15. 02. 2017 7:35,3.29
1487169888977,America/Chicago,15. 02. 2017 8:44,15. 02. 2017 9:31,0.78
1487234886583,America/Chicago,16. 02. 2017 2:48,16. 02. 2017 11:27,8.65
1487327650156,America/Chicago,17. 02. 2017 4:34,17. 02. 2017 9:02,4.47
1487400650085,America/Chicago,18. 02. 2017 0:50,18. 02. 2017 8:12,7.36
1487495235315,America/Chicago,19. 02. 2017 3:07,19. 02. 2017 11:02,7.92
1487602889223,America/Chicago,20. 02. 2017 9:01,20. 02. 2017 9:26,0.42
1487664092913,America/Chicago,21. 02. 2017 2:01,21. 02. 2017 11:10,9.15
1487756129976,America/Chicago,22. 02. 2017 3:35,22. 02. 2017 8:58,5.38
1487777866097,America/Chicago,22. 02. 2017 9:37,22. 02. 2017 9:40,0.05
1487946096900,America/Chicago,24. 02. 2017 8:21,24. 02. 2017 11:26,3.09
1488101957766,America/Chicago,26. 02. 2017 3:39,26. 02. 2017 10:41,7.04
1488181838811,America/Chicago,27. 02. 2017 1:50,27. 02. 2017 7:49,5.97
1488270053601,America/Chicago,28. 02. 2017 2:20,28. 02. 2017 10:30,8.17
1488354785024,America/Chicago,01. 03. 2017 1:53,01. 03. 2017 8:00,6.12
1488429644541,America/Chicago,01. 03. 2017 22:40,02. 03. 2017 8:36,9.93
1488465417567,America/Chicago,02. 03. 2017 8:36,02. 03. 2017 9:40,1.05
1488542905657,America/Chicago,03. 03. 2017 6:08,03. 03. 2017 9:01,2.88
1488609638168,America/Chicago,04. 03. 2017 0:40,04. 03. 2017 9:35,8.91
1488706341454,America/Chicago,05. 03. 2017 3:32,05. 03. 2017 11:54,8.38
1488794671792,America/Chicago,06. 03. 2017 4:04,06. 03. 2017 8:28,4.39
1488868808813,America/Chicago,07. 03. 2017 0:40,07. 03. 2017 6:47,6.12
1488922713550,America/Chicago,07. 03. 2017 15:38,07. 03. 2017 16:32,0.89
1489216324322,America/Chicago,11. 03. 2017 1:12,11. 03. 2017 11:10,9.97
1489298626811,America/Chicago,12. 03. 2017 0:03,12. 03. 2017 10:14,9.18
